X,year,month,day,hour,season,PM2.5,O3,TEMP,PRES
43895,2015,3,3,22,1,13,63,0.2,1023.7
43896,2015,3,3,23,1,13,64,-0.2,1024
43897,2015,3,4,0,1,13,62,-0.5,1024
43898,2015,3,4,1,1,13,57,-0.6,1024.2
43899,2015,3,4,2,1,15,51,-1,1024.4
43900,2015,3,4,3,1,15,35,-1.8,1024.1
43901,2015,3,4,4,1,18,NA,-1.9,1024.1
43902,2015,3,4,5,1,16,25,-2.6,1024.3
43903,2015,3,4,6,1,15,28,-3,1024.8
43904,2015,3,4,7,1,16,23,-2.7,1025.4
43905,2015,3,4,8,1,17,29,-1.3,1026.1
43906,2015,3,4,9,1,21,42,0,1026.8
43907,2015,3,4,10,1,NA,43,1.4,1026.8
43908,2015,3,4,11,1,19,51,3.4,1026
43909,2015,3,4,12,1,12,73,3.7,1025.2
43910,2015,3,4,13,1,11,77,4.4,1024
43911,2015,3,4,14,1,16,78,4.666666667,1024
43912,2015,3,4,15,1,23,85,5.6,1022.4
43913,2015,3,4,16,1,24,92,5.5,1022
43914,2015,3,4,17,1,23,93,5.3,1021.7
43915,2015,3,4,18,1,30,84,4,1022
43916,2015,3,4,19,1,30,77,3.8,1022.8
43917,2015,3,4,20,1,42,69,3.3,1023.2
43918,2015,3,4,21,1,50,57,3,1023.8
43919,2015,3,4,22,1,54,54,2.3,1024.1
43920,2015,3,4,23,1,59,46,1.7,1024.1
43921,2015,3,5,0,1,76,39,1.5,1023.9
43922,2015,3,5,1,1,92,32,0.1,1024.3
43923,2015,3,5,2,1,110,28,0.8,1024.4
43924,2015,3,5,3,1,122,26,-0.7,1024.1
43925,2015,3,5,4,1,108,17,-2.6,1023.4
43926,2015,3,5,5,1,112,19,-4.2,1023.3
43927,2015,3,5,6,1,122,19,-4.8,1023.4
43928,2015,3,5,7,1,122,19,-5.4,1023.7
43929,2015,3,5,8,1,126,20,-3.2,1024.2
43930,2015,3,5,9,1,133,23,-0.8,1024.5
43931,2015,3,5,10,1,139,24,1.4,1024.4
43932,2015,3,5,11,1,147,27,4.3,1023.5
43933,2015,3,5,12,1,134,58,5.5,1022.4
43934,2015,3,5,13,1,98,80,6.8,1021.2
43935,2015,3,5,14,1,NA,81,7.3,1020
43936,2015,3,5,15,1,42,NA,7.6,1019.2
43937,2015,3,5,16,1,68,89,7.5,1018.7
43938,2015,3,5,17,1,76,87,7.1,1018
43939,2015,3,5,18,1,85,79,6.5,1018.1
43940,2015,3,5,19,1,85,62,5.7,1018.3
43941,2015,3,5,20,1,109,39,5.6,1018.7
43942,2015,3,5,21,1,176,30,5.2,1018.9
43943,2015,3,5,22,1,218,20,4.4,1019.2
43944,2015,3,5,23,1,227,15,2.7,1019
43945,2015,3,6,0,1,184,26,1.5,1018.5
43946,2015,3,6,1,1,142,31,-0.5,1018.3
43947,2015,3,6,2,1,136,25,-1.4,1018.1
43948,2015,3,6,3,1,174,17,-2.1,1017.5
43949,2015,3,6,4,1,194,15,-2.6,1017
43950,2015,3,6,5,1,182,14,-2.6,1016.9
43951,2015,3,6,6,1,160,14,-3.4,1016.9
43952,2015,3,6,7,1,152,14,-4.1,1017
43953,2015,3,6,8,1,154,16,-2,1017.4
43954,2015,3,6,9,1,162,19,0.1,1017.5
43955,2015,3,6,10,1,163,25,1.6,1017
43956,2015,3,6,11,1,176,36,3.7,1016.2
43957,2015,3,6,12,1,192,38,4.5,1016.25
43958,2015,3,6,13,1,208,43,7.2,1013.9
43959,2015,3,6,14,1,223,44,7.8,1012.8
43960,2015,3,6,15,1,226,NA,8.8,1011.9
43961,2015,3,6,16,1,218,96,9.6,1011.4
43962,2015,3,6,17,1,210,108,9,1011.2
43963,2015,3,6,18,1,234,92,7.7,1011.3
43964,2015,3,6,19,1,247,51,4.9,1011.9
43965,2015,3,6,20,1,256,25,3.1,1012.1
43966,2015,3,6,21,1,265,15,2.6,1012.5
43967,2015,3,6,22,1,280,13,2.6,1012.5
43968,2015,3,6,23,1,290,13,1.9,1012.5
43969,2015,3,7,0,1,312,16,0,1012.7
43970,2015,3,7,1,1,313,19,-0.2,1013
43971,2015,3,7,2,1,299,17,-0.9,1013.3
43972,2015,3,7,3,1,287,16,-0.5,1013.2
43973,2015,3,7,4,1,276,15,-1.2,1013.4
43974,2015,3,7,5,1,274,15,-1.8,1014.1
43975,2015,3,7,6,1,264,14,-2.2,1014.5
43976,2015,3,7,7,1,245,12,-2.6,1015.3
43977,2015,3,7,8,1,230,13,-0.5,1015.9
43978,2015,3,7,9,1,219,19,3.5,1016.3
43979,2015,3,7,10,1,228,31,6.1,1016.6
43980,2015,3,7,11,1,228,43,8.3,1015.9
43981,2015,3,7,12,1,218,59,10,1016
43982,2015,3,7,13,1,209,86,9.333333333,1015.666667
43983,2015,3,7,14,1,194,86,11.4,1013.9
43984,2015,3,7,15,1,190,NA,11.9,1013.5
43985,2015,3,7,16,1,186,102,11.7,1013.2
43986,2015,3,7,17,1,193,103,11,1013.1
43987,2015,3,7,18,1,191,105,9.9,1013.3
43988,2015,3,7,19,1,202,76,8.6,1014
43989,2015,3,7,20,1,217,49,6.4,1014.5
43990,2015,3,7,21,1,225,37,4.9,1015
43991,2015,3,7,22,1,233,20,5.1,1015.6
43992,2015,3,7,23,1,236,11,3.5,1015.4
43993,2015,3,8,0,1,222,11,4.4,1015.1
43994,2015,3,8,1,1,213,20,2.3,1014.9
43995,2015,3,8,2,1,204,16,3.857142857,1015
43996,2015,3,8,3,1,221,12,1.5,1014.5
43997,2015,3,8,4,1,220,12,0.9,1014.3
43998,2015,3,8,5,1,243,13,1.8,1014
43999,2015,3,8,6,1,223,11,0.9,1014.4
44000,2015,3,8,7,1,230,12,0.3,1014.8
44001,2015,3,8,8,1,240,12,2,1015.9
44002,2015,3,8,9,1,259,15,3.4,1017
44003,2015,3,8,10,1,261,22,6.3,1017.7
44004,2015,3,8,11,1,206,44,8.4,1017.8
44005,2015,3,8,12,1,114,66,9.6,1017.9
44006,2015,3,8,13,1,23,85,11.2,1017.8
44007,2015,3,8,14,1,14,88,11.6,1017.7
44008,2015,3,8,15,1,15,NA,12,1017.8
44009,2015,3,8,16,1,11,93,11.6,1018
44010,2015,3,8,17,1,14,93,11.2,1018.7
44011,2015,3,8,18,1,10,86,9.7,1019.5
44012,2015,3,8,19,1,8,78,8.5,1020.8
44013,2015,3,8,20,1,12,72,7.5,1022.3
44014,2015,3,8,21,1,13,70,6.5,1023.7
44015,2015,3,8,22,1,10,77,5.3,1025.2
44016,2015,3,8,23,1,19,79,3.4,1026.6
44017,2015,3,9,0,1,15,82,2.5,1026.7
44018,2015,3,9,1,1,12,80,1.8,1027.5
44019,2015,3,9,2,1,11,78,0.8,1028.6
44020,2015,3,9,3,1,8,81,-0.1,1029.2
44021,2015,3,9,4,1,7,82,-1,1030
44022,2015,3,9,5,1,4,83,-1.5,1030.7
44023,2015,3,9,6,1,4,82,-2.2,1031.4
44024,2015,3,9,7,1,8,74,-3,1032.1
44025,2015,3,9,8,1,8,71,-2.2,1033.3
44026,2015,3,9,9,1,3,79,-1.7,1034.2
44027,2015,3,9,10,1,7,82,-1,1034
44028,2015,3,9,11,1,11,83,-0.3,1033.5
44029,2015,3,9,12,1,5,84,0.1,1033.1
44030,2015,3,9,13,1,8,87,1.2,1032.4
44031,2015,3,9,14,1,13,84,2.3,1031.5
44032,2015,3,9,15,1,20,NA,3.6,1030.7
44033,2015,3,9,16,1,15,93,3.8,1030.4
44034,2015,3,9,17,1,9,91,3.8,1030.3
44035,2015,3,9,18,1,13,85,2.9,1030.7
44036,2015,3,9,19,1,8,79,2.1,1031.6
44037,2015,3,9,20,1,11,72,1.4,1032.2
44038,2015,3,9,21,1,10,67,0.6,1032.7
44039,2015,3,9,22,1,16,62,0.4,1033.2
44040,2015,3,9,23,1,8,67,0,1033.2
44041,2015,3,10,0,1,9,63,-1,1033.2
44042,2015,3,10,1,1,14,63,-1.4,1033.2
44043,2015,3,10,2,1,11,63,-1.8,1033
44044,2015,3,10,3,1,5,64,-3.7,1032.4
44045,2015,3,10,4,1,10,41,-5.4,1031.6
44046,2015,3,10,5,1,14,22,-6.8,1031.2
44047,2015,3,10,6,1,14,17,-7.3,1030.8
44048,2015,3,10,7,1,16,11,-7.2,1030.7
44049,2015,3,10,8,1,21,15,-0.8,1030.5
44050,2015,3,10,9,1,25,23,2.4,1030
44051,2015,3,10,10,1,34,34,3.1,1028.9
44052,2015,3,10,11,1,18,64,4.5,1027.6
44053,2015,3,10,12,1,9,80,5.6,1026.1
44054,2015,3,10,13,1,13,87,6.7,1024.3
44055,2015,3,10,14,1,21,78,7.4,1022.6
44056,2015,3,10,15,1,36,NA,7.4,1021.7
44057,2015,3,10,16,1,43,110,7.9,1020.7
44058,2015,3,10,17,1,40,98,7.5,1020
44059,2015,3,10,18,1,38,88,6.7,1019.7
44060,2015,3,10,19,1,30,76,6.3,1019.6
44061,2015,3,10,20,1,66,67,6.1,1019.7
44062,2015,3,10,21,1,72,54,5.9,1020.2
44063,2015,3,10,22,1,76,43,4.8,1020.6
44064,2015,3,10,23,1,67,19,3.4,1020.3
44065,2015,3,11,0,1,68,12,3.3,1020
44066,2015,3,11,1,1,83,14,0.7,1019.9
44067,2015,3,11,2,1,105,17,-1,1020.1
44068,2015,3,11,3,1,110,17,-3.2,1019.9
44069,2015,3,11,4,1,105,15,-3.8,1019.7
44070,2015,3,11,5,1,86,14,-4,1020.3
44071,2015,3,11,6,1,71,14,-2.6,1020.8
44072,2015,3,11,7,1,76,15,-1.4,1021.6
44073,2015,3,11,8,1,48,29,0.9,1022.6
44074,2015,3,11,9,1,29,45,3.5,1022.7
44075,2015,3,11,10,1,18,56,5.4,1022
44076,2015,3,11,11,1,16,74,6.8,1021.4
44077,2015,3,11,12,1,18,79,7.3,1020.5
44078,2015,3,11,13,1,10,84,8,1019.2
44079,2015,3,11,14,1,9,86,9,1018
44080,2015,3,11,15,1,12,NA,9.4,1017
44081,2015,3,11,16,1,11,96,9.7,1016.5
44082,2015,3,11,17,1,19,78,9.5,1015.6
44083,2015,3,11,18,1,22,76,8.7,1015.5
44084,2015,3,11,19,1,27,71,8.4,1016
44085,2015,3,11,20,1,31,60,7.1,1016
44086,2015,3,11,21,1,36,50,6.4,1016.3
44087,2015,3,11,22,1,42,51,6,1016.3
44088,2015,3,11,23,1,58,41,5.1,1016
44089,2015,3,12,0,1,76,22,4.5,1015.6
44090,2015,3,12,1,1,88,16,4.5,1015
44091,2015,3,12,2,1,81,26,1.5,1014.7
44092,2015,3,12,3,1,88,21,-0.2,1014.1
44093,2015,3,12,4,1,82,15,-0.7,1013.8
44094,2015,3,12,5,1,88,13,-0.9,1014
44095,2015,3,12,6,1,83,13,-2.8,1013.9
44096,2015,3,12,7,1,86,13,-1.8,1013.4
44097,2015,3,12,8,1,87,15,0.1,1013.9
44098,2015,3,12,9,1,92,24,3.3,1014
44099,2015,3,12,10,1,93,35,4.6,1013.8
44100,2015,3,12,11,1,NA,NA,6.3,1013.1
44101,2015,3,12,12,1,NA,NA,8.3,1012.3
44102,2015,3,12,13,1,NA,NA,10.5,1011
44103,2015,3,12,14,1,NA,NA,11.8,1009.8
44104,2015,3,12,15,1,NA,NA,12.2,1009.4
44105,2015,3,12,16,1,NA,NA,11.7,1009.3
44106,2015,3,12,17,1,46,NA,11.7,1009.4
44107,2015,3,12,18,1,50,62,10.8,1010
44108,2015,3,12,19,1,52,47,9.9,1011
44109,2015,3,12,20,1,72,40,8.6,1011.8
44110,2015,3,12,21,1,76,36,6.1,1012.8
44111,2015,3,12,22,1,82,17,6,1013.5
44112,2015,3,12,23,1,85,14,5,1014.2
44113,2015,3,13,0,1,113,14,3.2,1014.6
44114,2015,3,13,1,1,115,15,0.8,1014.9
44115,2015,3,13,2,1,139,7,-0.1,1015.2
44116,2015,3,13,3,1,124,10,-1.3,1015.1
44117,2015,3,13,4,1,114,9,-2.2,1015
44118,2015,3,13,5,1,124,8,-2.9,1015.5
44119,2015,3,13,6,1,127,8,-3.3,1016.4
44120,2015,3,13,7,1,127,9,-3.2,1017.3
44121,2015,3,13,8,1,132,13,1.3,1018.8
44122,2015,3,13,9,1,136,26,4.8,1019.4
44123,2015,3,13,10,1,72,56,6.7,1019.5
44124,2015,3,13,11,1,33,68,8.4,1019.5
44125,2015,3,13,12,1,28,79,9.6,1019
44126,2015,3,13,13,1,28,88,10.6,1017.9
44127,2015,3,13,14,1,19,95,11,1017.1
44128,2015,3,13,15,1,9,100,11.9,1016.7
44129,2015,3,13,16,1,14,102,12.8,1016.6
44130,2015,3,13,17,1,15,98,12,1016.8
44131,2015,3,13,18,1,17,86,11,1017.3
44132,2015,3,13,19,1,25,60,9.5,1018.2
44133,2015,3,13,20,1,30,47,7.6,1019
44134,2015,3,13,21,1,34,29,4.6,1019.2
44135,2015,3,13,22,1,37,20,4.7,1020.5
44136,2015,3,13,23,1,55,15,2.7,1021.5
44137,2015,3,14,0,1,100,11,1.7,1022.1
44138,2015,3,14,1,1,88,8,1.8,1022.1
44139,2015,3,14,2,1,77,6,1.1,1022.1
44140,2015,3,14,3,1,66,7,1.5,1021.4
44141,2015,3,14,4,1,61,NA,1.2,1020.7
44142,2015,3,14,5,1,59,6,0.7,1020
44143,2015,3,14,6,1,55,6,0.5,1020.2
44144,2015,3,14,7,1,56,4,0.4,1020.2
44145,2015,3,14,8,1,60,5,0.7,1020.4
44146,2015,3,14,9,1,63,7,1.2,1020
44147,2015,3,14,10,1,68,9,2,1019.7
44148,2015,3,14,11,1,84,15,3,1018.6
44149,2015,3,14,12,1,96,22,4.7,1017
44150,2015,3,14,13,1,107,28,6.6,1015.2
44151,2015,3,14,14,1,129,32,8.5,1013.4
44152,2015,3,14,15,1,129,41,9.9,1012.2
44153,2015,3,14,16,1,112,57,10.7,1011.3
44154,2015,3,14,17,1,122,42,10.7,1011
44155,2015,3,14,18,1,139,23,9.1,1011.4
44156,2015,3,14,19,1,147,15,8,1012
44157,2015,3,14,20,1,153,8,7,1012.5
44158,2015,3,14,21,1,154,9,5,1012.7
44159,2015,3,14,22,1,170,9,3.5,1013
44160,2015,3,14,23,1,166,9,2.4,1013.1
44161,2015,3,15,0,1,159,7,1.6,1013.6
44162,2015,3,15,1,1,148,7,4.1,1013.9
44163,2015,3,15,2,1,145,6,3.3,1013.8
44164,2015,3,15,3,1,145,6,1.3,1013.5
44165,2015,3,15,4,1,145,6,0.8,1013.6
44166,2015,3,15,5,1,135,7,-0.4,1013.9
44167,2015,3,15,6,1,91,8,0.1,1014.5
44168,2015,3,15,7,1,55,8,-0.8,1015
44169,2015,3,15,8,1,97,8,3.4,1015.8
44170,2015,3,15,9,1,128,12,8.8,1015.7
44171,2015,3,15,10,1,65,38,11.9,1015.3
44172,2015,3,15,11,1,56,37,13,1014.6
44173,2015,3,15,12,1,63,64,14.6,1013.4
44174,2015,3,15,13,1,56,85,15.4,1012.2
44175,2015,3,15,14,1,48,97,16.2,1011.3
44176,2015,3,15,15,1,52,100,16.4,1010.5
44177,2015,3,15,16,1,85,110,16.4,1009.9
44178,2015,3,15,17,1,79,115,16.4,1009.6
44179,2015,3,15,18,1,71,108,15.7,1009.9
44180,2015,3,15,19,1,82,103,14.5,1010
44181,2015,3,15,20,1,86,80,14.6,1010.5
44182,2015,3,15,21,1,98,66,13.8,1010.8
44183,2015,3,15,22,1,122,69,12.8,1010.7
44184,2015,3,15,23,1,133,44,10.8,1010.3
44185,2015,3,16,0,1,143,38,10.7,1009.9
44186,2015,3,16,1,1,148,44,10.2,1009
44187,2015,3,16,2,1,154,22,8.9,1008.7
44188,2015,3,16,3,1,153,7,7.5,1008
44189,2015,3,16,4,1,123,NA,6.2,1007.7
44190,2015,3,16,5,1,112,4,7.4,1006.9
44191,2015,3,16,6,1,121,3,6.7,1007.1
44192,2015,3,16,7,1,104,4,6.6,1007.8
44193,2015,3,16,8,1,106,5,7.4,1008.3
44194,2015,3,16,9,1,116,6,8,1008.7
44195,2015,3,16,10,1,144,8,8.7,1008.8
44196,2015,3,16,11,1,173,10,9.8,1008.5
44197,2015,3,16,12,1,189,14,11.2,1007.8
44198,2015,3,16,13,1,216,21,11.6,1007.2
44199,2015,3,16,14,1,240,27,12.8,1006.1
44200,2015,3,16,15,1,270,31,13.3,1005.7
44201,2015,3,16,16,1,275,31,13.5,1005.5
44202,2015,3,16,17,1,287,26,13.4,1005.5
44203,2015,3,16,18,1,310,19,12.1,1006.1
44204,2015,3,16,19,1,309,2,10.7,1006.9
44205,2015,3,16,20,1,313,2,10.1,1008.1
44206,2015,3,16,21,1,311,2,9.1,1009.1
44207,2015,3,16,22,1,305,2,8.9,1010
44208,2015,3,16,23,1,306,2,8,1010.6
44209,2015,3,17,0,1,312,2,7.6,1010.8
44210,2015,3,17,1,1,322,2,9.6,1011.8
44211,2015,3,17,2,1,332,2,9.1,1012.2
44212,2015,3,17,3,1,315,2,8.1,1012.2
44213,2015,3,17,4,1,318,2,6.8,1012.3
44214,2015,3,17,5,1,312,2,5.3,1013.2
44215,2015,3,17,6,1,307,2,5.5,1014.3
44216,2015,3,17,7,1,304,2,5.4,1015.6
44217,2015,3,17,8,1,290,10,7,1016.8
44218,2015,3,17,9,1,195,40,9.6,1017.6
44219,2015,3,17,10,1,186,54,12.1,1017.9
44220,2015,3,17,11,1,164,66,13.3,1017.6
44221,2015,3,17,12,1,133,78,14.8,1016.9
44222,2015,3,17,13,1,142,87,14.7,1016.2
44223,2015,3,17,14,1,139,100,15.7,1015
44224,2015,3,17,15,1,118,109,15.9,1014.3
44225,2015,3,17,16,1,106,115,15.1,1013.7
44226,2015,3,17,17,1,155,118,14.4,1013.8
44227,2015,3,17,18,1,162,113,13.6,1014.2
44228,2015,3,17,19,1,139,109,12.5,1014.9
44229,2015,3,17,20,1,135,95,11.3,1015.6
44230,2015,3,17,21,1,99,78,9.9,1016.6
44231,2015,3,17,22,1,66,65,8.7,1017.5
44232,2015,3,17,23,1,36,58,8.6,1017.1
44233,2015,3,18,0,1,30,65,8.1,1016.8
44234,2015,3,18,1,1,29,64,8.2,1016.5
44235,2015,3,18,2,1,26,66,7.8,1015.9
44236,2015,3,18,3,1,24,66,7.5,1015
44237,2015,3,18,4,1,25,NA,7,1014.4
44238,2015,3,18,5,1,26,70,5.5,1013.8
44239,2015,3,18,6,1,21,68,5.2,1013.5
44240,2015,3,18,7,1,26,58,5.3,1013.7
44241,2015,3,18,8,1,30,51,7.1,1013.8
44242,2015,3,18,9,1,31,46,8.4,1014
44243,2015,3,18,10,1,32,53,9.3,1013.8
44244,2015,3,18,11,1,34,64,10.2,1013.3
44245,2015,3,18,12,1,30,76,11,1012.4
44246,2015,3,18,13,1,33,89,12.4,1011.2
44247,2015,3,18,14,1,38,92,12.4,1009.9
44248,2015,3,18,15,1,43,96,13.6,1009
44249,2015,3,18,16,1,43,96,12.9,1008.3
44250,2015,3,18,17,1,51,99,12.8,1008
44251,2015,3,18,18,1,58,93,12.3,1008.5
44252,2015,3,18,19,1,63,84,11.4,1009
44253,2015,3,18,20,1,73,74,9.3,1009.3
44254,2015,3,18,21,1,79,44,6.9,1009.9
44255,2015,3,18,22,1,87,26,6.7,1010.4
44256,2015,3,18,23,1,97,6,5.3,1010.8
44257,2015,3,19,0,1,105,5,4.6,1011.1
44258,2015,3,19,1,1,119,9,4,1011.8
44259,2015,3,19,2,1,120,8,6,1012.1
44260,2015,3,19,3,1,95,10,4.1,1011.7
44261,2015,3,19,4,1,84,8,4.4,1011.5
44262,2015,3,19,5,1,84,6,3.7,1011.9
44263,2015,3,19,6,1,90,5,2.3,1012.3
44264,2015,3,19,7,1,87,5,2.9,1013.2
44265,2015,3,19,8,1,88,6,6.7,1014.1
44266,2015,3,19,9,1,97,14,9.9,1014.6
44267,2015,3,19,10,1,88,21,12,1015.1
44268,2015,3,19,11,1,76,29,13.1,1014.8
44269,2015,3,19,12,1,81,31,15.5,1014
44270,2015,3,19,13,1,63,51,17.4,1013.1
44271,2015,3,19,14,1,55,68,17.9,1012.3
44272,2015,3,19,15,1,57,67,18.6,1011.3
44273,2015,3,19,16,1,55,81,18.7,1010.4
44274,2015,3,19,17,1,66,96,17.9,1010.2
44275,2015,3,19,18,1,74,90,17.2,1010.7
44276,2015,3,19,19,1,83,79,16.2,1011.1
44277,2015,3,19,20,1,103,70,16.2,1011.4
44278,2015,3,19,21,1,115,85,15.7,1012.3
44279,2015,3,19,22,1,131,80,14.4,1013.1
44280,2015,3,19,23,1,119,31,11.2,1013.3
44281,2015,3,20,0,1,113,6,11.5,1013.8
44282,2015,3,20,1,1,105,7,8.3,1014
44283,2015,3,20,2,1,55,22,7.2,1014.3
44284,2015,3,20,3,1,30,44,6.7,1014.5
44285,2015,3,20,4,1,32,NA,6,1014.6
44286,2015,3,20,5,1,32,53,12,1014.8
44287,2015,3,20,6,1,31,46,11.4,1015.2
44288,2015,3,20,7,1,24,22,11.2,1015.7
44289,2015,3,20,8,1,29,34,12.7,1016.1
44290,2015,3,20,9,1,29,50,14.7,1016.4
44291,2015,3,20,10,1,27,74,15.9,1016.4
44292,2015,3,20,11,1,35,89,16.9,1015.7
44293,2015,3,20,12,1,32,98,17.5,1014.6
44294,2015,3,20,13,1,39,105,18.4,1013.5
44295,2015,3,20,14,1,39,105,18.7,1012.4
44296,2015,3,20,15,1,38,117,19.2,1011.4
44297,2015,3,20,16,1,39,116,19.2,1010.5
44298,2015,3,20,17,1,44,111,18.5,1009.9
44299,2015,3,20,18,1,39,87,17.4,1009.9
44300,2015,3,20,19,1,41,71,16.9,1010.3
44301,2015,3,20,20,1,41,64,15.5,1010.6
44302,2015,3,20,21,1,44,47,15.8,1010.7
44303,2015,3,20,22,1,53,24,14.2,1010.8
44304,2015,3,20,23,1,59,11,12.5,1011.1
44305,2015,3,21,0,1,62,6,12,1011.1
44306,2015,3,21,1,1,60,11,15.1,1012
44307,2015,3,21,2,1,45,52,14.6,1012.2
44308,2015,3,21,3,1,33,65,13.7,1012.2
44309,2015,3,21,4,1,29,70,13.2,1012
44310,2015,3,21,5,1,19,70,12.3,1012.2
44311,2015,3,21,6,1,21,77,11.3,1013.4
44312,2015,3,21,7,1,23,69,11,1014.3
44313,2015,3,21,8,1,16,70,12.5,1015.5
44314,2015,3,21,9,1,15,75,13.5,1016.4
44315,2015,3,21,10,1,18,80,14.2,1016.4
44316,2015,3,21,11,1,6,87,15.3,1016.2
44317,2015,3,21,12,1,8,94,16.2,1015.6
44318,2015,3,21,13,1,12,96,16.9,1014.9
44319,2015,3,21,14,1,16,97,17.8,1013.9
44320,2015,3,21,15,1,14,98,18.3,1013.1
44321,2015,3,21,16,1,12,97,18.8,1013
44322,2015,3,21,17,1,12,96,18.3,1012.9
44323,2015,3,21,18,1,10,92,17.6,1013.2
44324,2015,3,21,19,1,11,80,16.5,1013.8
44325,2015,3,21,20,1,10,58,15.4,1014.5
44326,2015,3,21,21,1,15,24,13.5,1015.3
44327,2015,3,21,22,1,11,46,11.5,1016.1
44328,2015,3,21,23,1,14,51,10.2,1016.9
44329,2015,3,22,0,1,33,44,13.7,1018
44330,2015,3,22,1,1,44,76,13.7,1018.9
44331,2015,3,22,2,1,31,77,12.8,1019.9
44332,2015,3,22,3,1,24,78,11.4,1020.2
44333,2015,3,22,4,1,15,NA,9.8,1021
44334,2015,3,22,5,1,11,79,7.4,1022.2
44335,2015,3,22,6,1,11,68,6.2,1023.1
44336,2015,3,22,7,1,10,63,5.7,1024.2
44337,2015,3,22,8,1,13,64,6.2,1024.9
44338,2015,3,22,9,1,15,70,6.8,1025.9
44339,2015,3,22,10,1,12,77,8,1026.6
44340,2015,3,22,11,1,9,84,9,1026.4
44341,2015,3,22,12,1,12,89,10.5,1025.9
44342,2015,3,22,13,1,12,95,11.8,1024.9
44343,2015,3,22,14,1,19,98,12.8,1024
44344,2015,3,22,15,1,16,99,13.7,1023.4
44345,2015,3,22,16,1,20,94,13.6,1022.9
